"year","month","day","petrol_price","diesel_price"
2011,2,6,1.12,1.21
2020,3,17,1.09,1.2
2012,11,4,1.09,1.2
2014,10,31,1.1,1.2
2018,8,4,1.11,1.21
2011,5,21,1.08,1.2
2016,11,6,1.1,1.2
2012,11,17,1.09,1.19
2017,11,28,1.1,1.19
2019,1,27,1.07,1.19
2017,12,21,1.1,1.19
2020,7,29,1.1,1.21
2010,9,27,1.1,1.22
2017,9,2,1.09,1.19
2015,7,8,1.1,1.18
2015,6,10,1.1,1.21
2020,12,11,1.09,1.19
2014,4,26,1.09,1.2
2018,6,16,1.11,1.19
2011,4,4,1.12,1.2
2014,2,15,1.13,1.2
2010,10,20,1.11,1.2
2018,2,27,1.1,1.2
2014,9,26,1.1,1.2
2017,3,22,1.09,1.21
2019,10,11,1.1,1.18
2012,9,12,1.11,1.2
2019,7,30,1.1,1.19
2016,9,19,1.12,1.2
2014,11,25,1.08,1.19
2017,2,16,1.09,1.22
2018,5,17,1.1,1.21
2015,5,19,1.11,1.21
2014,3,5,1.11,1.2
2014,9,16,1.09,1.2
2011,9,4,1.11,1.2
2015,9,6,1.09,1.2
2020,8,17,1.1,1.2
2019,7,4,1.11,1.2
2018,8,29,1.11,1.2
2015,6,25,1.1,1.19
2015,11,22,1.1,1.19
2015,6,23,1.1,1.22
2011,1,18,1.11,1.19
2014,2,22,1.11,1.2
2015,11,28,1.11,1.21
2018,10,20,1.1,1.21
2020,12,20,1.11,1.19
2014,6,25,1.09,1.19
2018,7,20,1.11,1.19
2013,9,30,1.11,1.22
2013,5,30,1.11,1.2
2020,12,29,1.11,1.17
2018,4,20,1.1,1.2
2011,1,9,1.09,1.2
2016,12,4,1.1,1.22
2012,2,8,1.09,1.2
2020,8,25,1.09,1.21
2013,2,14,1.1,1.19
2018,8,26,1.1,1.2
2010,3,11,1.1,1.21
2016,12,12,1.08,1.2
2013,10,13,1.1,1.21
2014,2,17,1.1,1.18
2018,6,12,1.08,1.22
2015,4,31,1.11,1.2
2018,1,31,1.09,1.2
2012,2,2,1.1,1.21
2011,2,22,1.12,1.21
2014,11,24,1.11,1.2
2017,6,3,1.1,1.18
2015,2,31,1.1,1.19
2011,8,15,1.11,1.2
2011,4,3,1.1,1.21
2019,8,9,1.1,1.19
2013,6,19,1.1,1.18
2011,12,20,1.1,1.21
2014,6,11,1.11,1.2
2019,10,8,1.11,1.2
2011,8,3,1.1,1.19
2019,8,5,1.1,1.19
2014,4,2,1.1,1.2
2018,7,27,1.1,1.2
2017,8,20,1.1,1.22
2020,9,30,1.1,1.22
2015,10,4,1.1,1.19
2013,2,15,1.09,1.2
2019,3,19,1.08,1.18
